Date,Team 1,Score,Team 2
27 May 2024,Al-Ahli,1 - 0,Al Feiha
27 May 2024,AL Hazem FC,2 - 1,Abha Club
27 May 2024,Al-Khaleej Club,1 - 2,Al-Riyadh SC
27 May 2024,Al Nassr,4 - 2,Al Ittihad
27 May 2024,Al Shabab,3 - 2,Al Fateh FC
27 May 2024,Al Taawon,1 - 0,AL Ettifaq FC
27 May 2024,Al-Tai FC,0 - 2,Al-Okhdood Club
27 May 2024,Al Wahda,1 - 2,Al Hilal
27 May 2024,Damac FC,1 - 1,Al Raed
27 May 2024,Abha Club,2 - 1,Al-Khaleej Club
27 May 2024,Al-Okhdood Club,1 - 1,Al Wahda
27 May 2024,AL Ettifaq FC,1 - 0,Al Shabab
27 May 2024,Al Fateh FC,2 - 1,AL Hazem FC
27 May 2024,Al Feiha,1 - 1,Al Taawon
27 May 2024,Al Hilal,3 - 1,Al-Tai FC
27 May 2024,Al Ittihad,4 - 1,Damac FC
27 May 2024,Al Raed,0 - 0,Al-Ahli
27 May 2024,Al-Riyadh SC,2 - 2,Al Nassr
27 May 2024,Al-Ahli,5 - 1,Abha Club
27 May 2024,AL Hazem FC,1 - 1,Al-Riyadh SC
27 May 2024,Al Taawon,1 - 0,Al Shabab
27 May 2024,AL Ettifaq FC,1 - 1,Al-Okhdood Club
27 May 2024,Al Nassr,1 - 1,Al Hilal
27 May 2024,Damac FC,1 - 1,Al Feiha
27 May 2024,Al-Khaleej Club,1 - 1,Al Ittihad
27 May 2024,Al-Tai FC,3 - 1,Al Fateh FC
27 May 2024,Al Wahda,0 - 1,Al Raed
27 May 2024,Al Hilal,4 - 1,AL Hazem FC
27 May 2024,Al Raed,1 - 1,Al-Tai FC
27 May 2024,Al Shabab,1 - 2,Al-Ahli
27 May 2024,Abha Club,0 - 0,Damac FC
27 May 2024,Al Ittihad,0 - 5,AL Ettifaq FC
27 May 2024,Al-Khaleej Club,1 - 2,Al Wahda
27 May 2024,Al-Okhdood Club,2 - 3,Al Nassr
27 May 2024,Al Feiha,2 - 2,Al Fateh FC
27 May 2024,Al-Riyadh SC,0 - 0,Al Taawon
27 May 2024,Al-Ahli,1 - 2,Al Hilal
27 May 2024,Al Nassr,6 - 0,Al Wahda
27 May 2024,Al Shabab,2 - 0,Al Raed
27 May 2024,Al-Tai FC,0 - 0,Al-Khaleej Club
27 May 2024,Abha Club,3 - 1,Al Ittihad
27 May 2024,AL Ettifaq FC,1 - 2,Al Feiha
27 May 2024,Al Taawon,0 - 3,Al Hilal
27 May 2024,Al-Ahli,4 - 1,Damac FC
27 May 2024,Al Fateh FC,2 - 2,Al-Riyadh SC
27 May 2024,AL Hazem FC,0 - 0,Al-Okhdood Club
27 May 2024,Al-Okhdood Club,4 - 0,Abha Club
27 May 2024,Al-Khaleej Club,0 - 1,Al Nassr
27 May 2024,Al Raed,2 - 2,AL Ettifaq FC
27 May 2024,Al Hilal,3 - 1,Al Fateh FC
27 May 2024,Al Ittihad,1 - 3,Al Shabab
27 May 2024,Damac FC,0 - 1,Al Taawon
27 May 2024,Al Feiha,1 - 0,Al-Tai FC
27 May 2024,Al-Riyadh SC,2 - 1,Al-Ahli
27 May 2024,Al Wahda,0 - 2,AL Hazem FC
27 May 2024,Al-Okhdood Club,1 - 2,Damac FC
27 May 2024,AL Ettifaq FC,0 - 0,Al Wahda
27 May 2024,AL Hazem FC,2 - 3,Al Ittihad
27 May 2024,Al Nassr,3 - 1,Al Feiha
27 May 2024,Al-Riyadh SC,1 - 2,Al-Tai FC
27 May 2024,Al Fateh FC,3 - 1,Al Raed
27 May 2024,Al Shabab,5 - 0,Abha Club
27 May 2024,Al Taawon,1 - 1,Al-Khaleej Club
27 May 2024,Abha Club,2 - 1,Al Fateh FC
27 May 2024,Al Feiha,3 - 0,Al-Okhdood Club
27 May 2024,Al Raed,2 - 0,AL Hazem FC
27 May 2024,AL Ettifaq FC,1 - 0,Al-Riyadh SC
27 May 2024,Al-Tai FC,0 - 0,Al Shabab
5 April 2024,Al Ittihad,0 - 0,Al Taawon
5 April 2024,Al-Khaleej Club,1 - 4,Al Hilal
5 April 2024,Al Wahda,1 - 1,Al-Ahli
5 April 2024,Damac FC,0 - 1,Al Nassr
5 April 2024,Al Fateh FC,1 - 0,AL Ettifaq FC
5 April 2024,Al Shabab,1 - 0,Al-Riyadh SC
5 April 2024,Abha Club,0 - 8,Al Nassr
5 April 2024,Al Feiha,1 - 2,Al Wahda
5 April 2024,Al Hilal,3 - 0,Al-Okhdood Club
5 April 2024,Al-Tai FC,2 - 3,Al Taawon
5 April 2024,Al-Ahli,1 - 0,Al Ittihad
5 April 2024,AL Hazem FC,0 - 0,Damac FC
5 April 2024,Al Raed,0 - 1,Al-Khaleej Club
5 April 2024,Al Nassr,5 - 1,Al-Tai FC
5 April 2024,Al-Riyadh SC,1 - 1,Abha Club
5 April 2024,Al Shabab,3 - 4,Al Hilal
5 April 2024,Al Wahda,2 - 3,Al Fateh FC
5 April 2024,Al-Okhdood Club,1 - 3,Al Raed
5 April 2024,AL Ettifaq FC,2 - 2,Al-Ahli
5 April 2024,Al Ittihad,3 - 1,Al Feiha
5 April 2024,Al Taawon,4 - 0,AL Hazem FC
5 April 2024,Damac FC,0 - 1,Al-Khaleej Club
5 April 2024,Al Fateh FC,2 - 4,Al Ittihad
5 April 2024,Al Raed,0 - 0,Al Taawon
5 April 2024,Al Hilal,2 - 1,Damac FC
5 April 2024,Al-Tai FC,1 - 1,AL Ettifaq FC
5 April 2024,Al-Ahli,0 - 1,Al Nassr
5 April 2024,Al Feiha,1 - 1,Al-Riyadh SC
5 April 2024,Al-Khaleej Club,2 - 2,Al-Okhdood Club
5 April 2024,AL Hazem FC,0 - 3,Al Shabab
5 April 2024,Abha Club,1 - 0,Al Wahda
5 April 2024,AL Ettifaq FC,3 - 0,Abha Club
5 April 2024,Al Fateh FC,1 - 2,Al-Khaleej Club
5 April 2024,Al Taawon,0 - 1,Al-Ahli
5 April 2024,Al Ittihad,2 - 1,Al-Okhdood Club
5 April 2024,Al-Riyadh SC,1 - 3,Al Hilal
5 April 2024,Al-Tai FC,1 - 0,AL Hazem FC
5 April 2024,Al Nassr,1 - 3,Al Raed
5 April 2024,Al Shabab,2 - 3,Al Feiha
5 April 2024,Damac FC,1 - 0,Al Wahda
5 April 2024,Al-Ahli,1 - 1,Al Fateh FC
5 April 2024,Al-Khaleej Club,0 - 0,Al Shabab
